%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83303.785,302.109,0.961,0.775,0.288,-0.696,-3.351,-1.449,1.178,1.150,1.081,-1.245,-2.990,-2.996,-0.558,0.731,3.592,-2.973,4.293,1.256,-0.104,-0.788,-7.957,0.012,-0.434,0.002,535.048,336.269
83299.754,302.105,0.961,0.660,0.209,-0.216,-3.891,-1.783,1.070,1.464,0.973,-1.245,-2.136,-2.889,0.224,1.879,3.381,-3.079,3.770,1.884,0.415,-1.463,-7.947,0.032,-0.434,0.002,535.048,336.269
83295.723,302.105,0.961,0.775,0.288,-0.376,-2.810,-2.341,1.392,1.568,0.973,-1.764,-2.242,-2.568,-0.893,0.939,3.486,-3.292,3.979,2.302,0.831,-1.238,-7.947,-0.007,-0.455,0.001,535.048,336.269
83299.754,302.102,0.961,0.521,0.130,-0.376,-3.243,-0.892,0.856,1.255,0.973,-1.971,-2.349,-2.033,0.224,0.626,3.275,-2.442,3.560,1.988,-0.104,-1.013,-7.978,-0.007,-0.434,0.002,535.048,336.269
83299.754,302.107,0.961,0.875,0.367,-0.536,-3.243,-1.226,0.963,0.627,0.649,-1.141,-2.669,-2.461,-0.112,1.357,3.170,-2.761,3.979,1.361,0.727,-0.450,-7.947,-0.026,-0.434,0.002,535.048,336.269
83299.754,302.109,0.961,0.660,0.209,0.104,-2.918,-1.337,1.178,2.196,0.433,-1.660,-1.815,-2.889,-0.112,1.252,3.381,-2.973,3.875,2.302,-0.415,-0.788,-7.947,0.032,-0.424,0.001,535.048,336.269
83299.754,302.107,0.961,0.875,0.367,-0.216,-3.026,-1.672,0.856,1.359,0.865,-1.660,-2.456,-2.568,-1.340,1.461,3.592,-3.079,3.560,2.302,0.934,-1.463,-7.947,0.032,-0.434,0.002,535.048,336.269
83299.754,302.109,0.961,0.775,0.288,-0.056,-2.702,-1.003,0.428,0.941,0.973,-1.245,-2.456,-2.996,0.224,0.522,3.486,-2.867,3.665,1.256,0.104,-0.225,-7.957,-0.007,-0.434,0.001,535.048,336.269
83299.754,302.109,0.961,0.660,0.209,-0.216,-3.891,-1.115,0.642,0.836,0.757,-1.764,-1.602,-3.210,-0.558,1.044,2.536,-2.973,3.037,1.570,-0.104,-0.900,-7.947,-0.007,-0.445,0.001,535.048,336.269
83299.754,302.109,0.961,0.875,0.367,-0.056,-2.918,-2.229,0.856,1.568,0.757,-1.660,-2.136,-2.996,-0.893,1.044,3.486,-3.823,3.456,1.884,0.208,-1.013,-7.957,0.012,-0.445,0.001,535.048,336.269
83303.785,302.109,0.961,0.775,0.288,-0.056,-3.243,-1.115,-0.107,1.359,0.108,-2.075,-1.922,-2.568,-0.893,1.044,3.063,-2.761,2.723,1.884,-0.104,-0.900,-7.947,-0.007,-0.455,0.002,535.048,336.269
83303.785,302.105,0.961,0.875,0.367,0.104,-3.351,-1.337,0.963,1.255,0.433,-1.245,-2.883,-2.354,-0.112,0.835,3.486,-2.973,3.875,0.733,0.415,-0.563,-7.957,-0.007,-0.434,0.002,535.048,336.269
83295.723,302.110,0.961,0.660,0.209,-0.216,-3.567,-1.115,1.070,0.836,0.757,-1.349,-2.136,-3.424,0.112,1.357,2.852,-2.442,3.560,2.407,-0.104,-0.900,-7.947,-0.007,-0.434,0.002,535.048,336.269
83299.754,302.109,0.961,0.875,0.367,-0.056,-2.918,-2.229,0.963,1.359,0.865,-1.764,-2.456,-2.568,-0.670,1.670,3.063,-3.292,3.560,1.884,0.000,-1.351,-7.947,0.012,-0.455,0.002,535.048,336.269
83299.754,302.110,0.961,0.660,0.209,0.104,-3.459,-1.337,0.428,1.046,1.190,-1.868,-2.563,-3.424,0.000,0.209,3.275,-2.973,3.456,1.570,0.311,-0.225,-7.947,0.012,-0.445,0.003,535.048,336.269
83299.754,302.112,0.961,0.875,0.367,0.264,-3.134,-1.672,0.856,0.627,0.757,-1.557,-2.242,-3.424,-0.335,1.252,2.535,-2.761,3.037,1.360,-0.415,-0.338,-7.947,-0.007,-0.445,0.002,535.048,336.269
